feature_id,plane,sheet,l1_feature,l2_feature,l2_description,intended_user_outcome,semantic_owner,product_subsystem,runtime_implementer,execution_mechanism,implementation_decision,existing_ai4rnd_implementation,existing_jiuwen_implementation,reusable_evidence,missing_work,persistence_authority,data_graph,verification_authority,acceptance_evidence_or_test,product_surface,delivery_phase,confidence,evidence_class,implementation_slices,assumptions_open_questions
WF-11,Workflow,Workflow Features,Requirement compilation,4. Constraint Resolution,"Identifies and reconciles authorization, scope, time, cost, data, safety, policy, tool, environment, and output-format constraints with the user’s intended outcome.",A constraint that cannot be satisfied blocks planning,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),ADAPT,Constraint capture in the compiler,"Permission engine and jiuwenbox express runtime constraints, not research constraints",openjiuwen harness/security/tiered_policy.py,"Research constraint vocabulary (budget, time, data, IP)",AI4RnD project Contract record,,AI4RnD Contract acceptance check,A constraint that cannot be satisfied blocks planning,Project view - Contract panel,P1,MEDIUM,SRC,,
WF-12,Workflow,Workflow Features,Requirement compilation,5. Requirement Prioritization,"Separates mandatory outcomes, preferences, tradeable qualities, dependencies, exclusions, and deferred requests.",Requirements carry a stated priority order,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),BUILD,No explicit prioritisation stage,None,-,Requirement prioritisation model,AI4RnD project Contract record,,AI4RnD Contract acceptance check,Requirements carry a stated priority order,Project view - Contract panel,P1,MEDIUM,INF,,
WF-13,Workflow,Workflow Features,Requirement compilation,6. Acceptance Definition,"Defines observable success criteria, proof obligations, decision thresholds, failure conditions, and stopping rules.",Every Contract has machine-checkable acceptance criteria,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),ADAPT,Acceptance criteria in capsule contract postconditions,None,42 capsule manifests all carry contract.postconditions and contract.invariants,Project-level acceptance definition distinct from capsule-level,AI4RnD project Contract record,,AI4RnD Contract acceptance check,Every Contract has machine-checkable acceptance criteria,Project view - Contract panel,P1,HIGH,SRC,,
WF-14,Workflow,Workflow Features,Requirement compilation,7. Requirement Contract Confirmation,"Assembles a versioned contract with executable task semantics, presents consequential interpretations, and records user confirmation or authorized assumptions.",Work cannot start before the Contract is confirmed,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),BUILD,No explicit user confirmation step,Human interrupt mechanism available,openjiuwen interrupt handling,Contract confirmation gate with a durable record,AI4RnD project Contract record,Policy graph,AI4RnD Contract acceptance check,Work cannot start before the Contract is confirmed,Project view - Contract panel,P1,MEDIUM,INF,,
WF-15,Workflow,Workflow Features,Search & ideation,1. Search Strategy Formation,"Turns the requirement contract into technical themes, source families, queries, time horizons, counter-signals, diversity goals, and coverage targets.",The search strategy is inspectable before execution,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,Search strategy formation in the survey planner,"Symphony skill retrieval is capability search, not literature search",AI4Research lib/research/survey/planner.py,Strategy as a reviewable plan artifact,AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,The search strategy is inspectable before execution,Project view - evidence browser,P2,HIGH,SRC,,
WF-16,Workflow,Workflow Features,Search & ideation,2. Multi-Source Signal Discovery,"Uses parallel research agents to search open-source projects, papers, patents, standards, experts, think tanks, industry reports, big-tech dynamics, technical communities, the open web, and authorized internal history.",A discovery run returns sources from more than one modality,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,"Multi-source discovery implemented (arXiv, HF, GitHub, YouTube sources)",No literature sources,AI4Research lib/research/sources/,Compile discovery fan-out to SwarmFlow,AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,A discovery run returns sources from more than one modality,Project view - evidence browser,P2,HIGH,SRC,,
WF-17,Workflow,Workflow Features,Search & ideation,3. Source Qualification,"Screens discovered material for intent relevance, authority, recency, independence, incentives, duplication, access limits, and potential bias.",An unqualified source is excluded with a recorded reason,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,Source qualification in the research evaluator,None,AI4Research tools/research/evaluator.py,"Qualification thresholds as policy, not code constants",AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,An unqualified source is excluded with a recorded reason,Project view - evidence browser,P2,HIGH,EXEC,,
WF-18,Workflow,Workflow Features,Search & ideation,4. Technical Signal Extraction,"Extracts claims, data, methods, mechanisms, results, benchmarks, limitations, failures, dependencies, adoption signals, and unresolved questions.",Extracted signals validate against a schema,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,Technical signal extraction (extractors/),None,AI4Research lib/research/extractors/,Typed signal schema,AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,Extracted signals validate against a schema,Project view - evidence browser,P2,MEDIUM,SRC,,
WF-19,Workflow,Workflow Features,Search & ideation,5. Signal Organization,"Normalizes signals, binds provenance, clusters related findings, and maps convergence, divergence, dependencies, and opposing viewpoints.",Signals are grouped and the grouping is reproducible,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,Signal organisation in survey tooling,None,AI4Research lib/research/survey/,Projection into the concept graph,AI4RnD evidence ledger,Concept graph,AI4RnD evidence + source qualification evaluators,Signals are grouped and the grouping is reproducible,Project view - evidence browser,P2,MEDIUM,SRC,,
WF-20,Workflow,Workflow Features,Search & ideation,6. Trend & Gap Analysis,"Detects momentum, decay, contradictions, bottlenecks, missing capabilities, abandoned directions, and technical white spaces.",Each claimed gap cites the sources that establish it,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,Trend and gap analysis in survey tooling,None,AI4Research lib/research/survey/,Gap statements bound to evidence,AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,Each claimed gap cites the sources that establish it,Project view - evidence browser,P2,MEDIUM,SRC,,
WF-21,Workflow,Workflow Features,Search & ideation,7. Idea Generation,"Expands a diverse candidate set from signal clusters, gaps, adjacencies, cross-domain transfers, and contrarian combinations while retaining initial supporting and opposing evidence.",Generated ideas trace to the signals that motivated them,AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),PORT,Idea generation capsule (cap.research-idea-generate),None,AI4Research capability-capsules/cap.research-idea-generate.yaml,Wire the capsule to a runner,AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,Generated ideas trace to the signals that motivated them,Project view - evidence browser,P2,MEDIUM,SRC,,
WF-22,Workflow,Workflow Features,Search & ideation,8. Search Coverage Review,"Tests source-family, technical, geographic, temporal, viewpoint, and counter-evidence coverage before the candidate space is allowed to narrow.","A search stops on a stated coverage criterion, not a fixed count",AI4RnD Core,Discovery lane,AI4RnD-Jiuwen Integration,SwarmFlow (deterministic fan-out),BUILD,No explicit coverage review,None,-,Coverage metric and stopping rule,AI4RnD evidence ledger,,AI4RnD evidence + source qualification evaluators,"A search stops on a stated coverage criterion, not a fixed count",Project view - evidence browser,P2,MEDIUM,INF,,
WF-23,Workflow,Workflow Features,Idea identification / screening / opportunity selection,1. Candidate Consolidation,"Combines parallel search outputs, resolves semantic duplicates, and preserves variants whose assumptions, evidence, or opportunity boundaries materially differ.",Duplicate candidates across runs merge deterministically,AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,BUILD,Partial - candidate handling inside ideation,None,-,Consolidation stage across discovery runs,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,Duplicate candidates across runs merge deterministically,Project view - opportunity portfolio,P4,MEDIUM,INF,,
WF-24,Workflow,Workflow Features,Idea identification / screening / opportunity selection,2. Idea Identification,Converts meaningful signal combinations and gaps into discrete candidate ideas with a recognizable technical or user value proposition.,Identified ideas carry a stable id reused downstream,AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,ADAPT,Idea evaluate capsule (cap.research-idea-evaluate),None,AI4Research capability-capsules/cap.research-idea-evaluate.yaml,Identification distinct from evaluation,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,Identified ideas carry a stable id reused downstream,Project view - opportunity portfolio,P4,MEDIUM,SRC,,
WF-25,Workflow,Workflow Features,Idea identification / screening / opportunity selection,3. Idea Card Formation,"Forms the governing Idea Card with the candidate’s opportunity, relevance, linked evidence, assumptions, novelty, uncertainty, risks, and open questions; evidence formation is part of this card.",Every opportunity has an Idea Card that validates against the schema,AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,BUILD,Absent - no idea_card symbol anywhere in the repository,None,grep for idea_card across AI4Research lib/ and tools/ returns 0 files,Idea Card schema and its editor,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,Every opportunity has an Idea Card that validates against the schema,Project view - opportunity portfolio,P4,HIGH,EXEC,,"Confirmed absent in this revision by direct search, matching the prior finding"
WF-26,Workflow,Workflow Features,Idea identification / screening / opportunity selection,4. Opportunity Definition,"States the unmet need, technical bottleneck, missing capability, unserved user, or unexploited combination that makes the idea actionable.",An opportunity references its ideas and its screening verdicts,AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,BUILD,No explicit opportunity object,None,-,Opportunity record distinct from idea,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,An opportunity references its ideas and its screening verdicts,Project view - opportunity portfolio,P4,MEDIUM,INF,,
WF-27,Workflow,Workflow Features,Idea identification / screening / opportunity selection,5. Technical Opportunity Screening,"Screens novelty, evidence maturity, reachable data, known mechanisms, technical feasibility, and the existence of a credible verification path.",A technically infeasible opportunity is blocked before claims are formed,AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,ADAPT,Technical screening inside idea evaluation,None,AI4Research capsule verification sections,Screening as a gate with a recorded verdict,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,A technically infeasible opportunity is blocked before claims are formed,Project view - opportunity portfolio,P4,MEDIUM,SRC,,
WF-28,Workflow,Workflow Features,Idea identification / screening / opportunity selection,6. Strategic Opportunity Screening,"Screens user or company value, timing, defensibility, strategic fit, adoption, safety, legal exposure, dependencies, and resource implications.",Strategic rejection is recorded with its criterion,AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,BUILD,No strategic screening,None,-,Strategic criteria and their owner,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,Strategic rejection is recorded with its criterion,Project view - opportunity portfolio,P4,LOW,INF,,Strategic criteria are organisation-specific; the workbook does not define them
WF-29,Workflow,Workflow Features,Idea identification / screening / opportunity selection,7. Opportunity Portfolio Prioritization,"Ranks and selects a bounded, diverse opportunity portfolio using transparent criteria and records why other directions were deferred or rejected.","Opportunities rank against each other, not only within a project",AI4RnD Core,Opportunity lane,AI4RnD Core,SwarmFlow (panel) + DeepAgent,BUILD,No portfolio view,None,-,Portfolio prioritisation across projects,AI4RnD opportunity store,,AI4RnD screening evaluators + gate ledger,"Opportunities rank against each other, not only within a project",Project view - opportunity portfolio,P4,MEDIUM,INF,,
WF-30,Workflow,Workflow Features,Generate technical claims & hypothesis,1. Research Question & Technical Claim Formation,"turn passed opportunity to specific research questions and testable technical claims, clarify research object, expected effects and applicable situations.",Each claim states what would refute it,AI4RnD Core,Claims lane,AI4RnD Core,SwarmFlow (panel),PORT,Claim compiler + claim-extract capsule,None,AI4Research lib/research/claim_compiler.py; cap.research-claim-extract.yaml,Research question as a distinct object from the claim,AI4RnD claim graph,Concept graph,AI4RnD falsifiability + scientific-validity evaluators,Each claim states what would refute it,Project view - claims panel,P4,HIGH,SRC,,
WF-31,Workflow,Workflow Features,Generate technical claims & hypothesis,"2. Claim, Evidence, Data & Method Modeling","Set up claim, data, means of measuring, approaches, and the relationship between baseline and missing evidence",A claim resolves to evidence at char and byte offsets,AI4RnD Core,Claims lane,AI4RnD Core,SwarmFlow (panel),PORT,Claim/evidence modelling with citation spans,None,"AI4Research tests/research/unit/test_claim_evidence.py, test_evidence_span.py",Data and method as first-class model elements,AI4RnD claim graph,Concept graph,AI4RnD falsifiability + scientific-validity evaluators,A claim resolves to evidence at char and byte offsets,Project view - claims panel,P4,HIGH,EXEC,,
WF-32,Workflow,Workflow Features,Generate technical claims & hypothesis,3. Hypothesis Pool & Mechanism Formation,"Form the hypothesis from opportunities, and form the mechanism to test the hypothesis.",Competing hypotheses are held simultaneously,AI4RnD Core,Claims lane,AI4RnD Core,SwarmFlow (panel),BUILD,Hypotheses implicit in claims,None,-,Hypothesis pool and mechanism model,AI4RnD claim graph,,AI4RnD falsifiability + scientific-validity evaluators,Competing hypotheses are held simultaneously,Project view - claims panel,P4,MEDIUM,INF,,
WF-33,Workflow,Workflow Features,Generate technical claims & hypothesis,4. Falsifiability Screening & Hypothesis Contracting,"Determine if the hypothesis can be overthrowed by obtained data, or methods for the experiment. Also form the contract for testing the hypothesis",A non-falsifiable hypothesis is blocked before POC construction,AI4RnD Core,Claims lane,AI4RnD Core,SwarmFlow (panel),BUILD,Two files mention falsifiability; no screening stage,None,grep falsifiab across AI4Research lib/ and tools/ matches 2 files,Falsifiability screening and hypothesis contracting - the scientific core,AI4RnD claim graph,,AI4RnD falsifiability + scientific-validity evaluators,A non-falsifiable hypothesis is blocked before POC construction,Project view - claims panel,P4,HIGH,EXEC,,
WF-34,Workflow,Workflow Features,Generate technical claims & hypothesis,5. Verification-Ready POC Design,"Design the minimum viable verification plan. Define input, output, evidence requirements, index requirement for success, success/fail criteria, resource needed, restraints and verification steps.",A POC design states which hypothesis it can refute,AI4RnD Core,Claims lane,AI4RnD Core,SwarmFlow (panel),ADAPT,Experiment design capsule (cap.research-experiment-design),None,AI4Research capability-capsules/cap.research-experiment-design.yaml,Design tied to the falsifiability verdict,AI4RnD claim graph,,AI4RnD falsifiability + scientific-validity evaluators,A POC design states which hypothesis it can refute,Project view - claims panel,P4,MEDIUM,SRC,,
WF-35,Workflow,Workflow Features,POC implementation,1. POC Implementation Environment Preparation,"Setup the environment needed for the POC (dependencies, data, runtime, access permissions, compute resources and configs)",A capsule declaring network:none cannot get a networked environment,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + jiuwenbox sandbox,REUSE,Environment preparation scripts,Worktree manager + jiuwenbox sandbox (bwrap/cgroup) provide isolated build environments,openjiuwen agent_teams/worktree.py; jiuwenbox policies,Bind environment to the capsule effects declaration,Jiuwen worktree + AI4RnD build evidence,,AI4RnD engineering-correctness evaluator,A capsule declaring network:none cannot get a networked environment,Project view - build panel,P4,HIGH,SRC,,
WF-36,Workflow,Workflow Features,POC implementation,2. POC Construction,"Construct the code, model, prompt, etc. for validating the POC.",A build runs in its own worktree and leaves the main tree untouched,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + jiuwenbox sandbox,REUSE,Build agents in the harness,Code mode with worktree isolation is the intended construction mechanism,openjiuwen agent_teams/worktree.py; agent(options={'isolation':'worktree'}),Construction driven by a Build Contract rather than a free-form prompt,Jiuwen worktree + AI4RnD build evidence,,AI4RnD engineering-correctness evaluator,A build runs in its own worktree and leaves the main tree untouched,Project view - build panel,P4,HIGH,SRC,,
WF-37,Workflow,Workflow Features,POC implementation,3. POC Component Integration & Configuration,"Connect each part into a POC workable E2E, and prepare for the smoke test.",Integration failures are attributed to a component,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + jiuwenbox sandbox,ADAPT,Integration handled ad hoc,Worktree + tool execution,openjiuwen worktree manager,Component integration as a declared step with its own acceptance,Jiuwen worktree + AI4RnD build evidence,,AI4RnD engineering-correctness evaluator,Integration failures are attributed to a component,Project view - build panel,P4,MEDIUM,SRC,,
WF-38,Workflow,Workflow Features,POC implementation,4. POC Functional Readiness Validation,"Perform smoke test run, make sure POC runs, outputs are in the right format, and faliures can be observed.",An unready POC cannot enter benchmarking,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + jiuwenbox sandbox,BUILD,No explicit readiness validation,None,-,Functional readiness checks before benchmark handoff,Jiuwen worktree + AI4RnD build evidence,,AI4RnD engineering-correctness evaluator,An unready POC cannot enter benchmarking,Project view - build panel,P4,MEDIUM,INF,,
WF-39,Workflow,Workflow Features,POC implementation,5. Testable POC Artifact Consolidation & Benchmark Handoff,"Organize final POC, config, dependencies, runtime, known constraints and necessary explanations, form an artifact that is benchmark-ready.","Benchmarking receives a manifest, not a directory",AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + jiuwenbox sandbox,BUILD,No consolidation/handoff artifact,None,-,Testable artifact manifest and handoff contract,Jiuwen worktree + AI4RnD build evidence,,AI4RnD engineering-correctness evaluator,"Benchmarking receives a manifest, not a directory",Project view - build panel,P4,MEDIUM,INF,,
WF-40,Workflow,Workflow Features,Benchmarking,1. Benchmark Framing,"Define the claims to be compared, the runtime for the benchmark, baseline used, reference system, and version history.",A benchmark states which claim it can disconfirm,AI4RnD Core,Benchmarking lane,AI4RnD-Jiuwen Integration,Deterministic tools + SwarmFlow,ADAPT,Benchmark framing inside benchmark tooling,None,"AI4Research lib/heavy_proof_benchmark.py, lib/platform_workflow_benchmark.py",Framing tied to the claim under test,AI4RnD benchmark store,,AI4RnD performance/cost/benchmark evaluator,A benchmark states which claim it can disconfirm,Project view - benchmark panel,P4,MEDIUM,SRC,,
WF-41,Workflow,Workflow Features,Benchmarking,2. Benchmark Protocol & Asset Preparation,"define workload, dataset, figures, repetitions, resource limits, methods for data collection, comparision rules, and reletive assets.",A benchmark protocol is reproducible from its record,AI4RnD Core,Benchmarking lane,AI4RnD-Jiuwen Integration,Deterministic tools + SwarmFlow,PORT,Benchmark asset preparation present but unwired,None,AI4Research lib/capability_fusion_benchmark.py,Protocol as a versioned artifact,AI4RnD benchmark store,Dataset graph,AI4RnD performance/cost/benchmark evaluator,A benchmark protocol is reproducible from its record,Project view - benchmark panel,P4,MEDIUM,SRC,,
WF-42,Workflow,Workflow Features,Benchmarking,3. Benchmark Execution,Run the benchmark according to the rules.,A benchmark re-run reproduces from the journal,AI4RnD Core,Benchmarking lane,AI4RnD-Jiuwen Integration,Deterministic tools + SwarmFlow,REUSE,Benchmark runners exist,SwarmFlow executes deterministic fan-out with a replayable journal,probe_r2.py: run 3 replayed both steps with zero live calls,Benchmark runs registered as AI4RnD evidence,AI4RnD benchmark store,,AI4RnD performance/cost/benchmark evaluator,A benchmark re-run reproduces from the journal,Project view - benchmark panel,P4,HIGH,EXEC,,
WF-43,Workflow,Workflow Features,Benchmarking,4. Metrics & Run Evidence Collection,"Collect benchmark results (index, log, run condition, status, faliure lgos, resource used, and provenance, to make sure result is trackable)",Every metric traces to the run that produced it,AI4RnD Core,Benchmarking lane,AI4RnD-Jiuwen Integration,Deterministic tools + SwarmFlow,PORT,Metrics collection in report_metrics.py,Observability rail collects agent spans,AI4Research tools/research/report_metrics.py,Run evidence bound to the claim graph,AI4RnD benchmark store,Trace graph,AI4RnD performance/cost/benchmark evaluator,Every metric traces to the run that produced it,Project view - benchmark panel,P4,MEDIUM,SRC,,
WF-44,Workflow,Workflow Features,Benchmarking,5. Comparative Result Analysis & Benchmark Result Packaging,"Compare POC and baseline, organize info and form benchmark result.",Results are stated against a named baseline,AI4RnD Core,Benchmarking lane,AI4RnD-Jiuwen Integration,Deterministic tools + SwarmFlow,BUILD,Partial comparison tooling,None,-,Comparative analysis with baselines and packaging,AI4RnD benchmark store,,AI4RnD performance/cost/benchmark evaluator,Results are stated against a named baseline,Project view - benchmark panel,P4,MEDIUM,INF,,
WF-45,Workflow,Workflow Features,Evaluation,1. Evaluation Scope & Evidence Assembly,"Clarify the strategy and standard used for this evaluation, collect benchmark results, claims, and reletive evidence",An evaluation states exactly which evidence it considered,AI4RnD Core,Evaluation lane,AI4RnD Core,SwarmFlow (panel) + deterministic checks,ADAPT,Evidence assembly in the evidence ledger,None,AI4Research lib/evidence_ledger.py executed standalone,Scope declaration for an evaluation round,AI4RnD evidence ledger + gate ledger,,AI4RnD evaluator families (writer != verifier),An evaluation states exactly which evidence it considered,Project view - evaluation dossier,P3,HIGH,EXEC,,
WF-46,Workflow,Workflow Features,Evaluation,2. Evidence Completeness & Provenance Review,"Check if evidence is complete, source tracable, completeness on key experiments, and existence of false materials",Entailment precision measured on a labelled set and materially above 0.25,AI4RnD Core,Evaluation lane,AI4RnD Core,SwarmFlow (panel) + deterministic checks,ADAPT,Provenance review present; grounding check measured at precision 0.25,llm_as_judge metric and judge calibration exist in agent_evolving,V-12 measured grounding precision 0.25 on a hand-labelled 9-case set; openjiuwen agent_evolving/evaluator/metrics,Replace the grounding check with calibrated entailment; publish a measured bar,AI4RnD evidence ledger + gate ledger,,AI4RnD evaluator families (writer != verifier),Entailment precision measured on a labelled set and materially above 0.25,Project view - evaluation dossier,P3,HIGH,EXEC,,This is the single largest correctness risk in the product; the current check does not hold
