feature_id,plane,l1_feature,l2_feature,option_A,option_B,option_C,option_D,option_E
WF-16,Workflow,Search & ideation,2. Multi-Source Signal Discovery,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-17,Workflow,Search & ideation,3. Source Qualification,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-18,Workflow,Search & ideation,4. Technical Signal Extraction,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-19,Workflow,Search & ideation,5. Signal Organization,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-20,Workflow,Search & ideation,6. Trend & Gap Analysis,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-21,Workflow,Search & ideation,7. Idea Generation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-22,Workflow,Search & ideation,8. Search Coverage Review,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-23,Workflow,Idea identification / screening / opportunity selection,1. Candidate Consolidation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-24,Workflow,Idea identification / screening / opportunity selection,2. Idea Identification,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-25,Workflow,Idea identification / screening / opportunity selection,3. Idea Card Formation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-26,Workflow,Idea identification / screening / opportunity selection,4. Opportunity Definition,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-27,Workflow,Idea identification / screening / opportunity selection,5. Technical Opportunity Screening,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-28,Workflow,Idea identification / screening / opportunity selection,6. Strategic Opportunity Screening,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-29,Workflow,Idea identification / screening / opportunity selection,7. Opportunity Portfolio Prioritization,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-30,Workflow,Generate technical claims & hypothesis,1. Research Question & Technical Claim Formation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-31,Workflow,Generate technical claims & hypothesis,"2. Claim, Evidence, Data & Method Modeling",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-32,Workflow,Generate technical claims & hypothesis,3. Hypothesis Pool & Mechanism Formation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-33,Workflow,Generate technical claims & hypothesis,4. Falsifiability Screening & Hypothesis Contracting,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-34,Workflow,Generate technical claims & hypothesis,5. Verification-Ready POC Design,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-35,Workflow,POC implementation,1. POC Implementation Environment Preparation,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-36,Workflow,POC implementation,2. POC Construction,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-37,Workflow,POC implementation,3. POC Component Integration & Configuration,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-38,Workflow,POC implementation,4. POC Functional Readiness Validation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-39,Workflow,POC implementation,5. Testable POC Artifact Consolidation & Benchmark Handoff,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-40,Workflow,Benchmarking,1. Benchmark Framing,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-41,Workflow,Benchmarking,2. Benchmark Protocol & Asset Preparation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-42,Workflow,Benchmarking,3. Benchmark Execution,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-43,Workflow,Benchmarking,4. Metrics & Run Evidence Collection,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-44,Workflow,Benchmarking,5. Comparative Result Analysis & Benchmark Result Packaging,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-45,Workflow,Evaluation,1. Evaluation Scope & Evidence Assembly,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-46,Workflow,Evaluation,2. Evidence Completeness & Provenance Review,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-47,Workflow,Evaluation,"3. Experimental, Reasoning & External Validity Review",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-48,Workflow,Evaluation,4. Claim & Acceptance-Criteria Comparison,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-49,Workflow,Evaluation,"5. Verdict, Blocker & Residual-Risk Classification",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-50,Workflow,Evaluation,6. Refinement & Follow-Up Recording,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-51,Workflow,Delivery,1. Delivery Planning & Evidence Handoff,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-52,Workflow,Delivery,2. User-Facing Deliverable Generation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-53,Workflow,Delivery,"3. Deliverable, Reusable Asset & Knowledge Packaging",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-54,Workflow,Delivery,"4. Authorized Distribution, Knowledge Transfer & Lifecycle Closure",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-01,Foundation,Capability capsule,1. Capability Capsule Definition & Assembly,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-02,Foundation,Capability capsule,"2. Capsule Governance, Certification & Registry Management",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-03,Foundation,Capability capsule,"3. Capability Discovery, Scoring & Selection",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-04,Foundation,Capability capsule,4. Capsule Invocation & Composition,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-05,Foundation,Capability capsule,5. Capability Capsule Evolution & Version Promotion,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-06,Foundation,Operators,"1. 逻辑算子定义、组装与注册 — Logical Operator Definition, Assembly & Registration",PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-07,Foundation,Operators,"2. 算子准入、认证与治理 — Operator Qualification, Admission & Governance",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-08,Foundation,Operators,"3. 逻辑—物理算子匹配、选择与绑定 — Logical-to-Physical Matching, Selection & Binding",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-09,Foundation,Operators,4. 物理算子与执行舰队管理 — Physical Operator & Execution Fleet Management,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-10,Foundation,Operators,5. 算子运行评估与能力画像 — Operator Runtime Evaluation & Capability Profiling,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-11,Foundation,Operators,6. 评估器驱动的算子演进 — Evaluator-Driven Operator Evolution,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-12,Foundation,Evaluator,"1. Contract, Schema & Artifact Conformance Evaluator",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-13,Foundation,Evaluator,2. Engineering Correctness & Code Quality Evaluator,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-14,Foundation,Evaluator,"3. Performance, Cost & Benchmark Evaluator",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-15,Foundation,Evaluator,"4. Security, Privacy, Compliance & IP Evaluator",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-16,Foundation,Evaluator,"5. Evidence, Factuality & Scientific Validity Evaluator",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-17,Foundation,Evaluator,"6. Lifecycle, Parity & Human Review Evaluator",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-18,Foundation,Foundational models,1. Model Capability Registry,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-19,Foundation,Foundational models,2. Model Routing & Selection,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,DROPPED,NEW BUILD REQUIRED
FN-20,Foundation,Foundational models,3. Model Usage Auditing,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-21,Foundation,RSI,1. Text-Based Artifacts (GEPA / MIPROv2 / TextGrad),NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-22,Foundation,RSI,2. Runtime and Resource Routing (Bayesian Optimization / Bandits / Cost-Aware RL),NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-23,Foundation,RSI,3. Capability Capsules and Physical Operators (Trajectory Mining / Code Evolution / CEGIS),NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-24,Foundation,RSI,4. DAG and Agent Organization (AFlow / MCTS / ADAS),NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-25,Foundation,RSI,"5. Evaluator, Reward, Contract, and Governance (Judge Calibration / Reward Modeling / CEGIS)",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-26,Foundation,RSI,"6. Memory, Retrieval, and Evidence (Memory Learning / Self-RAG / Reranker Training)",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-27,Foundation,RSI,7. Model Policies and Weights (SFT / LoRA / DPO / GRPO / Agent RL),NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-28,Foundation,RSI,"8. Data, Benchmarks, Curriculum, and Observability (Active Learning / Hard-Case Mining / Credit Assignment)",NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-29,Foundation,Data foundations,1. Persistent Memory & Context Retrieval,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-30,Foundation,Data foundations,2. Concept Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-31,Foundation,Data foundations,3. Dataset Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-32,Foundation,Data foundations,4. Code Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-33,Foundation,Data foundations,5. Policy Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-34,Foundation,Data foundations,6. Workflow Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-35,Foundation,Data foundations,7. Trace Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-36,Foundation,Data foundations,8. Memory Graph Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-37,Foundation,Data foundations,9. TaskGraph Persistence & Lifecycle Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-38,Foundation,Harness Core,1. Runtime Control Loop & Run Lifecycle Management,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED
FN-39,Foundation,Harness Core,2. Message Bus & Durable Task Queue,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED
FN-40,Foundation,Harness Core,"3. DAG Scheduler, TaskGraph Readiness & Operator Binding",PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED
FN-41,Foundation,Harness Core,"4. Execution Admission, Lease & Concurrency Control",PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED
FN-42,Foundation,Harness Core,5. Main Loop Dispatch & Runtime Supervision,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,PRESERVED
FN-43,Foundation,Harness Core,6. Failure Recovery & Resumability,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED WITH ADAPTATION,UNRESOLVED,PRESERVED
FN-44,Foundation,Intention compilers,1. Intent Classification & Compilation Variant Selection,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-45,Foundation,Intention compilers,"2. Goal, Scope and Context normalization",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-46,Foundation,Intention compilers,3. Ambiguity Resolution & Readiness,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-47,Foundation,Intention compilers,4. Constraint Compilation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-48,Foundation,Intention compilers,5. Task Contract & Acceptance Compilation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-49,Foundation,Planner,1. Task Contract Decomposition,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-50,Foundation,Planner,2. TaskGraph Construction,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-51,Foundation,Planner,3. TaskGraph Validation & Feasibility Analysis,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
FN-52,Foundation,Builder,1. Build Contract Interpretation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-53,Foundation,Builder,2. Build Preparation,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-54,Foundation,Builder,3. Code Construction,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-55,Foundation,Builder,4. Model Construction,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-56,Foundation,Builder,5. Experimental Asset Construction,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-57,Foundation,Builder,6. Benchmark Asset Construction,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-58,Foundation,Builder,7. Verification Asset Construction,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-59,Foundation,Builder,8. Decision Artifact Construction,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-60,Foundation,Builder,9. Prototype Assembly,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-61,Foundation,Builder,10. Product Integration,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
FN-62,Foundation,Builder,11. Defect Repair,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-63,Foundation,Builder,12. Build Evidence Generation,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-64,Foundation,Builder,13. Report/Paper/Deliverable Construction,PRESERVED WITH ADAPTATION,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
FN-65,Foundation,Builder,14. Runtime Deliverable Construction,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
VT-01,Vertical,Visibility / Statistics,1. Workflow & Platform Status Visibility,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-02,Vertical,Visibility / Statistics,2. Execution Trace Search & Inspection,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-03,Vertical,Visibility / Statistics,3. Runtime status visibility,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
VT-04,Vertical,Visibility / Statistics,"4. Resource Usage, Cost & Capacity Management",PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-05,Vertical,Installer & CLI & Webapp,1. Windows App,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-06,Vertical,Installer & CLI & Webapp,2. MacOS App,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-07,Vertical,Installer & CLI & Webapp,3. MacOS CLI,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-08,Vertical,Installer & CLI & Webapp,4. Linux Cli,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-09,Vertical,Installer & CLI & Webapp,5. Web Application & Status Service,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-10,Vertical,UI,1. CLI,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-11,Vertical,UI,2. GUI,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-12,Vertical,UI,3. TUI,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-13,Vertical,Account management,1. Account Registration,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
VT-14,Vertical,Account management,2. Authentication & Session Security,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
VT-15,Vertical,Account management,3. User Profile Management,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
VT-16,Vertical,Account management,4. Privacy & Personal Data Controls,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
VT-17,Vertical,Message Channels,1. Wechat,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-18,Vertical,Message Channels,2. Discord,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-19,Vertical,Message Channels,3. TMUX,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
VT-20,Vertical,System Configurations,1. LLM Config,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-21,Vertical,System Configurations,2. User Settings,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-22,Vertical,System Configurations,3. Cost/Budget Settings,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
VT-23,Vertical,System Configurations,4. Cluster setting,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED
